Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot17,"CumMilkshake69",hard,24,Completed,"Signal - Part 1","Zone place_SIGNAL_01_2","1","04:02:02","04:08:02",
Bot17,"CumMilkshake69",hard,24,Failed,"Signal - Part 1","Zone place_SIGNAL_01_1","1","04:08:07","04:10:28",
Bot14,"Zyldiks",easy,13,Failed,"Signal - Part 1","Zone place_SIGNAL_01_2","1","04:02:02","04:04:26",
Bot16,"--J--ROUBLES--",normal,10,Completed,"Chemical - Part 1","Item Secure Folder 0013","1","04:02:02","04:15:38",
Bot16,"--J--ROUBLES--",normal,10,Completed,"Resort East Wing 3rd Floor","Resort East Wing 3rd Floor: Objective #3","1","04:15:43","04:16:08",
Bot16,"--J--ROUBLES--",normal,10,Failed,"Resort East Wing 3rd Floor","Resort East Wing 3rd Floor: Objective #2","1","04:16:13","04:16:22",
Bot16,"--J--ROUBLES--",normal,10,Failed,"Resort East Wing 3rd Floor","Resort East Wing 3rd Floor: Objective #1","1","04:16:27","04:16:30",
Bot16,"--J--ROUBLES--",normal,10,Failed,"Resort East Wing 3rd Floor","Resort East Wing 3rd Floor: Objective #4","1","04:16:35","04:16:54",
Bot16,"--J--ROUBLES--",normal,10,Failed,"Resort East Wing 3rd Floor","Resort East Wing 3rd Floor: Objective #5","1","04:16:59","04:17:25",
Bot16,"--J--ROUBLES--",normal,10,Failed,"Resort East Wing 3rd Floor","Resort East Wing 3rd Floor: Objective #6","1","04:17:30","04:18:07",
Bot16,"--J--ROUBLES--",normal,10,Failed,"Resort East Wing 3rd Floor","Resort East Wing 3rd Floor: Objective #7","1","04:18:12","04:18:14",
Bot16,"--J--ROUBLES--",normal,10,Failed,"Resort East Wing 3rd Floor","Resort East Wing 3rd Floor: Objective #8","1","04:18:19","04:18:23",
Bot16,"--J--ROUBLES--",normal,10,Failed,"Resort East Wing 3rd Floor","Resort East Wing 3rd Floor: Objective #9","1","04:18:28","04:18:45",
Bot19,"Musya",hard,38,Failed,"Colleagues - Part 1","Zone ter_023_area_3_1","1","04:02:02","04:15:50",
Bot19,"Musya",hard,38,Failed,"Colleagues - Part 1","Zone ter_023_area_1_1","1","04:15:55","04:15:55",
Bot19,"Musya",hard,38,Failed,"Colleagues - Part 1","Zone ter_023_area_2_1","1","04:16:00","04:16:00",
Bot19,"Musya",hard,38,Failed,"Vitamins - Part 1","Item Chemical container #1","1","04:16:05","04:16:05",
Bot19,"Musya",hard,38,Failed,"Rigged Game","Zone skier_022_area_1","1","04:16:10","04:16:10",
Bot19,"Musya",hard,38,Failed,"Rigged Game","Zone skier_022_area_2","1","04:16:11","04:16:11",
Bot19,"Musya",hard,38,Failed,"Rigged Game","Zone skier_022_area_3","1","04:16:12","04:16:12",
Bot19,"Musya",hard,38,Failed,"Chemistry Closet","Zone place_meh_sanitar_room","1","04:16:14","04:16:14",
Bot15,"BanditVeteran",normal,34,Completed,"Anesthesia","Zone prapor_022_area_2","1","04:02:02","04:07:36",
