Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"DuendePablo",normal,16,Failed,"Scout","Zone place_pacemaker_SCOUT_04","1","03:39:56","03:41:26",
Bot2,"zeqaTTV",normal,22,Failed,"Postman Pat - Part 1","Item Sealed letter","1","03:39:56","03:41:02",
Bot4,"shawomeixiaoJJ9",normal,11,Completed,"Delivery From the Past","Zone case_extraction","2","03:39:56","03:46:03",
Bot4,"shawomeixiaoJJ9",normal,11,Completed,"Chemical - Part 3","Item Syringe with a chemical","1","03:46:08","03:46:28",
Bot4,"shawomeixiaoJJ9",normal,11,Completed,"1st Floor Office","1st Floor Office: Objective #2","1","03:46:33","03:47:12",
Bot4,"shawomeixiaoJJ9",normal,11,Completed,"1st Floor Office","1st Floor Office: Objective #1","3","03:47:17","03:47:35",
Bot4,"shawomeixiaoJJ9",normal,11,Failed,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","3","03:47:40","03:48:28",
Bot3,"FuzzyNipsTTV",normal,18,Completed,"Farming - Part 1","Zone place_SADOVOD_01_2","2","03:39:56","03:40:25",
Bot3,"FuzzyNipsTTV",normal,18,Completed,"Farming - Part 1","Zone place_SADOVOD_01_1","2","03:40:30","03:41:48",
Bot3,"FuzzyNipsTTV",normal,18,Completed,"Scout","Zone place_pacemaker_SCOUT_01","1","03:41:53","03:42:27",
Bot3,"FuzzyNipsTTV",normal,18,Failed,"Scout","Zone place_pacemaker_SCOUT_04","1","03:42:32","03:44:10",
[Not Spawned],"Паша Менеджер (DadPenetrateMe)",normal,1,,,,,,,
[Not Spawned],"Иржан Комитный (7_MAOMAO)",normal,1,,,,,,,
[Not Spawned],"Николай Функция (Ivan)",normal,1,,,,,,,
[Not Spawned],"Олег Бугор (MagnumCumshoot)",normal,1,,,,,,,
[Not Spawned],"Тимофей Верстак (quojTTV)",normal,1,,,,,,,
[Not Spawned],"Толян Десинк (PMCKarma)",normal,1,,,,,,,
[Not Spawned],"Макс Табурет (ZHAN---shen)",normal,1,,,,,,,
[Not Spawned],"Тоха Дристомет",normal,1,,,,,,,
[Not Spawned],"Авксентий Цинк (SR1MPsalad)",normal,1,,,,,,,
